Suhu_C,Kelembaban_persen,Tekanan_Udara_hPa,Kecepatan_Angin_kmjam,Arah_Angin_derajat,Curah_Hujan_mm,Kondisi_Cuaca
19.5,70,1010.3,17.6,247,0.0,Cerah
22.6,68,1006.2,7.9,198,0.0,Cerah
31.6,74,1004.7,8.9,223,0.0,Cerah
17.4,74,1006.1,4.5,51,0.0,Cerah
23.7,90,1011.5,11.8,246,2.6,Berawan
31.8,97,1009.0,4.0,203,1.8,Berawan
19.2,91,1010.3,22.6,322,3.8,Berawan
30.6,61,1009.8,21.4,110,3.8,Berawan
24.9,65,1007.4,13.7,55,0.0,Cerah
28.5,68,1009.9,26.9,1,3.9,Berawan
20.8,61,1011.7,29.2,200,3.1,Berawan
22.4,66,1012.9,12.8,48,0.0,Cerah
20.7,86,1004.2,28.2,22,37.4,Hujan
30.3,80,1008.5,27.3,29,3.3,Berawan
16.8,85,1007.9,28.8,104,0.3,Berawan
23.1,65,1011.6,19.6,275,2.7,Berawan
25.0,98,1009.1,17.0,30,3.4,Berawan
21.8,67,1006.8,4.1,217,0.0,Cerah
27.1,56,1012.9,10.8,98,0.0,Cerah
30.8,93,1009.6,16.7,81,1.7,Berawan
16.5,82,1008.9,8.6,280,3.2,Berawan
17.9,59,1008.1,11.9,7,0.0,Cerah
19.7,91,1006.9,12.5,187,49.6,Hujan
26.3,64,1005.0,25.1,213,3.6,Berawan
19.8,71,1011.4,6.3,207,0.0,Cerah
31.5,68,1010.7,13.7,165,0.0,Cerah
18.4,93,1009.4,28.2,145,1.7,Berawan
16.8,93,1008.2,22.1,213,3.5,Berawan
23.5,76,1012.6,19.3,296,2.8,Berawan
26.9,88,1005.1,6.7,246,3.8,Berawan
30.1,70,1004.6,4.7,84,0.0,Cerah
26.9,84,1007.3,6.6,311,2.1,Berawan
24.3,81,1007.6,9.2,36,0.5,Berawan
23.5,86,1006.1,23.4,313,39.1,Hujan
20.1,62,1009.8,17.2,202,0.0,Cerah
24.1,71,1010.9,8.5,64,0.0,Cerah
25.2,93,1013.0,18.9,171,0.6,Berawan
23.8,95,1004.3,8.5,106,23.7,Hujan
19.3,75,1010.4,22.8,359,3.9,Berawan
23.2,87,1008.2,28.6,191,3.2,Berawan
31.0,89,1010.8,22.7,157,4.2,Berawan
21.0,73,1005.7,24.1,317,4.5,Berawan
16.4,79,1010.0,12.0,243,4.6,Berawan
20.0,83,1010.5,6.7,28,0.1,Berawan
19.4,57,1006.8,6.3,129,0.0,Cerah
19.2,76,1005.8,20.5,70,0.6,Berawan
26.7,93,1007.1,14.2,146,2.8,Berawan
27.9,60,1005.7,29.6,193,1.0,Berawan
29.7,56,1009.4,24.6,4,3.5,Berawan
17.3,86,1006.0,11.8,107,22.6,Hujan
18.7,70,1012.9,6.6,203,0.0,Cerah
31.6,58,1007.0,6.8,79,0.0,Cerah
16.0,91,1011.6,15.9,37,0.2,Berawan
23.3,88,1005.1,3.4,63,37.1,Hujan
16.8,97,1009.2,24.4,346,3.0,Berawan
26.4,69,1008.7,19.4,230,2.4,Berawan
31.9,65,1005.9,25.5,53,3.9,Berawan
23.4,70,1005.9,17.9,273,0.0,Cerah
22.0,70,1010.6,24.1,55,2.0,Berawan
26.6,78,1008.4,10.9,217,3.7,Berawan
26.8,86,1004.6,6.1,142,4.5,Berawan
25.6,73,1007.0,9.8,43,0.0,Cerah
25.4,74,1007.4,24.1,227,1.8,Berawan
17.5,69,1005.0,23.7,102,4.6,Berawan
32.0,74,1005.9,8.2,313,0.0,Cerah
26.2,86,1012.5,13.6,203,3.4,Berawan
19.8,82,1004.1,19.5,34,2.0,Berawan
30.6,80,1009.7,20.1,214,1.1,Berawan
18.7,56,1004.1,29.8,311,4.2,Berawan
21.5,75,1005.6,17.2,218,0.0,Cerah
24.5,56,1006.8,24.5,103,4.7,Berawan
21.9,78,1005.5,8.4,219,1.9,Berawan
24.1,90,1004.1,23.0,64,3.1,Berawan
23.5,96,1004.5,15.4,162,28.3,Hujan
20.3,55,1007.9,18.9,57,4.2,Berawan
27.3,71,1005.6,21.6,126,1.4,Berawan
17.7,55,1012.0,19.0,212,2.2,Berawan
18.7,77,1008.0,17.1,100,0.3,Berawan
29.1,84,1010.7,18.1,266,2.3,Berawan
28.0,87,1004.4,7.8,33,2.6,Berawan
20.5,56,1011.3,17.2,15,0.0,Cerah
29.7,61,1005.1,22.7,14,2.8,Berawan
27.8,88,1011.0,3.3,339,4.4,Berawan
30.6,74,1009.1,7.5,181,0.0,Cerah
20.5,65,1011.7,20.0,306,4.0,Berawan
18.7,85,1011.8,25.7,271,0.8,Berawan
19.7,88,1010.9,27.3,356,3.3,Berawan
29.1,85,1010.4,28.8,25,3.7,Berawan
29.6,70,1011.5,12.2,211,0.0,Cerah
17.5,87,1007.3,6.4,111,39.6,Hujan
25.6,81,1008.8,19.9,255,1.9,Berawan
31.4,77,1006.2,22.2,338,3.4,Berawan
27.5,87,1006.1,17.6,268,2.0,Berawan
16.9,90,1006.7,21.6,181,15.2,Hujan
25.6,82,1009.9,4.1,55,3.9,Berawan
31.6,70,1006.0,23.7,339,4.2,Berawan
30.8,79,1011.1,25.5,176,2.1,Berawan
25.8,58,1007.8,13.0,134,0.0,Cerah
30.2,60,1008.0,17.6,215,0.0,Cerah
19.2,81,1010.1,11.3,235,4.8,Berawan
30.9,68,1007.8,19.2,19,1.5,Berawan
20.9,76,1008.5,26.6,252,0.5,Berawan
30.9,95,1011.5,5.4,341,4.3,Berawan
22.9,83,1011.0,7.6,26,2.8,Berawan
21.2,70,1005.6,26.6,196,3.9,Berawan
26.3,77,1005.7,29.8,26,2.8,Berawan
26.2,72,1007.8,27.4,118,4.6,Berawan
26.6,69,1004.7,27.4,264,0.5,Berawan
25.5,85,1006.2,4.2,240,0.5,Berawan
23.5,82,1004.6,29.2,146,0.2,Berawan
30.7,85,1008.5,6.5,183,1.9,Berawan
27.0,75,1012.5,23.4,295,4.6,Berawan
22.8,93,1011.2,8.9,265,2.1,Berawan
27.3,63,1005.8,27.8,78,1.0,Berawan
31.1,65,1006.5,16.9,319,0.0,Cerah
16.9,93,1010.6,18.6,7,3.2,Berawan
22.4,62,1004.8,17.8,231,0.0,Cerah
18.5,92,1010.8,29.6,289,3.7,Berawan
31.0,58,1010.1,8.8,9,0.0,Cerah
27.1,58,1010.1,25.0,201,3.5,Berawan
27.2,73,1008.0,18.6,129,0.7,Berawan
25.3,87,1005.0,15.0,110,4.8,Berawan
17.1,59,1009.8,21.1,131,3.6,Berawan
31.1,96,1008.4,7.0,230,2.9,Berawan
30.2,80,1011.2,10.6,62,4.4,Berawan
29.6,93,1008.1,15.0,26,3.6,Berawan
20.0,73,1009.6,9.1,4,0.0,Cerah
21.4,72,1006.3,25.3,85,4.6,Berawan
23.5,73,1007.7,13.6,93,0.0,Cerah
31.8,91,1009.9,9.7,355,0.5,Berawan
19.0,79,1012.6,29.4,203,0.9,Berawan
23.7,79,1008.2,26.2,85,2.7,Berawan
28.5,79,1012.9,14.1,330,0.4,Berawan
28.6,74,1007.4,5.8,12,0.0,Cerah
25.2,60,1007.3,17.1,327,0.0,Cerah
23.9,86,1012.6,5.3,231,2.0,Berawan
26.8,59,1008.8,8.0,188,0.0,Cerah
20.7,63,1009.6,24.8,271,3.7,Berawan
18.9,87,1011.8,13.5,31,1.1,Berawan
20.6,97,1012.8,5.9,226,4.2,Berawan
26.9,91,1010.4,8.0,94,4.5,Berawan
20.7,69,1008.5,13.8,237,0.0,Cerah
19.7,64,1012.6,6.8,113,0.0,Cerah
18.6,96,1012.6,24.2,269,4.2,Berawan
29.4,60,1012.6,17.8,51,0.0,Cerah
19.0,59,1009.6,12.7,124,0.0,Cerah
25.6,92,1007.4,10.8,57,4.5,Berawan
29.2,59,1006.8,12.4,30,0.0,Cerah
26.4,74,1005.7,24.2,126,0.5,Berawan
26.2,70,1004.9,8.6,46,0.0,Cerah
29.2,74,1012.5,24.2,224,2.6,Berawan
18.7,71,1006.9,5.9,202,0.0,Cerah
31.7,87,1011.6,21.6,15,1.4,Berawan
17.9,76,1010.6,7.0,165,4.6,Berawan
27.5,77,1004.2,16.0,17,1.5,Berawan
28.1,64,1005.2,19.8,256,4.3,Berawan
28.0,88,1006.6,23.1,252,1.8,Berawan
24.4,63,1004.9,24.3,82,3.8,Berawan
30.9,93,1004.4,20.9,76,0.1,Berawan
17.8,64,1006.1,6.7,85,0.0,Cerah
18.9,96,1011.6,10.8,44,0.8,Berawan
18.0,67,1005.8,23.0,297,3.7,Berawan
22.7,91,1004.3,19.8,137,18.3,Hujan
31.5,75,1009.8,29.9,209,0.2,Berawan
27.6,82,1008.7,29.9,275,2.9,Berawan
21.2,80,1011.6,26.1,125,2.1,Berawan
29.8,88,1007.0,22.2,334,0.1,Berawan
18.3,72,1012.0,29.0,119,3.6,Berawan
29.9,57,1009.4,14.1,207,0.0,Cerah
24.7,70,1005.2,17.8,341,0.0,Cerah
21.5,81,1004.4,14.0,246,3.9,Berawan
27.0,84,1011.5,4.3,166,3.0,Berawan
31.6,91,1010.7,15.1,188,2.4,Berawan
18.5,86,1009.2,15.3,77,4.8,Berawan
20.7,60,1012.8,25.4,339,3.3,Berawan
30.1,79,1004.2,5.8,156,1.0,Berawan
30.0,86,1011.2,3.4,187,1.2,Berawan
27.1,71,1007.0,23.2,100,4.4,Berawan
31.5,57,1009.8,29.0,315,1.5,Berawan
18.4,71,1008.2,6.4,218,0.0,Cerah
18.9,93,1004.8,3.8,65,18.0,Hujan
20.5,76,1005.8,12.7,28,3.3,Berawan
17.7,77,1004.9,5.4,146,3.0,Berawan
28.7,92,1010.5,10.0,339,2.6,Berawan
31.9,97,1006.3,11.6,233,4.6,Berawan
17.6,84,1012.2,25.2,146,2.8,Berawan
16.1,63,1011.7,6.0,259,0.0,Cerah
20.0,77,1010.6,18.2,14,3.0,Berawan
31.9,93,1005.4,9.4,282,2.0,Berawan
26.4,74,1009.6,11.9,262,0.0,Cerah
29.6,62,1012.0,19.0,279,1.6,Berawan
19.4,70,1005.4,23.5,331,3.5,Berawan
17.8,65,1011.6,19.2,20,3.3,Berawan
16.4,79,1008.2,10.3,170,3.2,Berawan
31.3,58,1008.6,23.8,217,4.3,Berawan
23.7,87,1004.6,19.3,110,13.4,Hujan
17.1,58,1006.4,26.7,289,0.7,Berawan
19.2,73,1008.2,20.6,211,4.8,Berawan
19.4,70,1008.2,11.7,283,0.0,Cerah
16.4,92,1006.4,7.8,215,46.7,Hujan
20.3,93,1007.0,28.5,265,28.7,Hujan
29.2,81,1008.2,15.4,125,1.4,Berawan
16.5,59,1008.3,7.1,125,0.0,Cerah
19.0,89,1010.6,7.5,340,4.6,Berawan
16.6,81,1004.5,6.3,356,3.8,Berawan
30.4,91,1007.7,20.4,222,1.5,Berawan
29.4,86,1009.2,9.7,122,1.2,Berawan
19.1,82,1004.6,21.3,189,3.3,Berawan
28.8,81,1009.1,25.9,196,2.9,Berawan
29.9,69,1010.1,7.8,108,0.0,Cerah
25.6,90,1010.7,18.0,131,3.4,Berawan
25.6,66,1006.2,10.9,324,0.0,Cerah
24.5,71,1012.2,29.2,139,3.3,Berawan
19.5,72,1012.1,29.4,336,0.7,Berawan
17.4,81,1007.6,30.0,239,3.3,Berawan
23.2,62,1007.3,13.2,133,0.0,Cerah
22.7,70,1004.4,8.5,157,0.0,Cerah
23.1,87,1010.9,4.2,39,4.6,Berawan
17.2,83,1005.2,25.1,274,0.5,Berawan
20.5,77,1010.4,19.1,181,4.5,Berawan
19.3,61,1008.6,21.0,336,4.2,Berawan
30.1,92,1011.5,5.4,291,2.9,Berawan
28.0,81,1009.1,4.4,212,1.6,Berawan
26.7,62,1004.6,29.9,7,2.6,Berawan
19.8,75,1009.3,11.2,190,3.2,Berawan
18.6,86,1004.3,24.3,159,46.6,Hujan
21.8,63,1008.5,27.2,249,0.2,Berawan
27.7,65,1006.0,20.8,251,3.1,Berawan
25.0,78,1009.1,11.0,358,0.1,Berawan
24.8,77,1008.5,18.9,52,0.9,Berawan
27.5,68,1007.4,24.4,335,4.4,Berawan
17.1,89,1011.2,23.1,80,1.9,Berawan
19.0,89,1004.6,25.1,323,11.1,Hujan
25.9,57,1008.7,18.6,322,0.4,Berawan
23.3,97,1008.0,13.8,190,2.3,Berawan
24.7,57,1012.3,27.0,111,2.7,Berawan
16.2,90,1009.4,22.0,73,0.3,Berawan
23.8,56,1010.5,29.2,113,0.4,Berawan
24.2,58,1012.5,13.4,198,0.0,Cerah
26.8,91,1008.1,28.8,254,0.6,Berawan
25.7,64,1007.7,4.9,121,0.0,Cerah
19.8,81,1009.6,12.9,164,0.8,Berawan
28.8,90,1006.6,22.2,105,2.4,Berawan
25.3,65,1004.9,21.4,72,3.9,Berawan
25.5,65,1012.9,27.0,196,1.6,Berawan
21.4,93,1008.9,27.4,223,4.6,Berawan
21.4,95,1009.8,23.7,86,2.6,Berawan
28.7,76,1004.6,21.7,205,3.5,Berawan
17.1,63,1006.0,17.1,241,0.0,Cerah
31.5,78,1009.3,26.4,31,4.0,Berawan
20.6,94,1008.0,11.2,278,1.6,Berawan
19.1,93,1005.5,8.5,105,13.6,Hujan
27.0,62,1011.5,23.8,309,1.5,Berawan
28.0,81,1005.4,9.9,262,4.5,Berawan
29.5,55,1009.2,26.9,26,0.1,Berawan
21.2,55,1006.9,28.5,138,2.4,Berawan
22.9,90,1005.6,15.1,112,33.6,Hujan
29.0,82,1006.2,22.9,223,3.4,Berawan
22.3,92,1007.5,26.7,271,31.0,Hujan
29.1,78,1007.9,19.0,247,0.9,Berawan
25.6,77,1004.3,3.0,258,1.6,Berawan
32.0,80,1006.8,4.8,93,4.7,Berawan
18.6,79,1004.2,23.0,315,3.6,Berawan
29.9,88,1011.2,14.4,143,2.2,Berawan
21.4,90,1004.4,24.7,224,24.2,Hujan
16.7,62,1007.9,11.8,203,0.0,Cerah
21.3,81,1009.2,6.4,180,0.4,Berawan
24.4,63,1007.0,19.4,52,0.6,Berawan
22.6,59,1009.3,11.2,340,0.0,Cerah
23.4,69,1004.9,5.1,4,0.0,Cerah
28.3,85,1012.8,23.5,309,2.4,Berawan
26.2,76,1012.3,18.7,282,1.8,Berawan
22.6,59,1012.1,9.4,216,0.0,Cerah
